,user id,user name,age,location,registration date,phone,email,favorite meal,total orders,session id_x,dish name_x,meal type_x,session start,session end,duration (mins),session rating,order id,order date,meal type_y,dish name_y,order status,amount (usd),time of day,rating,session id_y
0,U001,Alice Johnson,28,New York,2023-01-15,123-456-7890,alice@email.com,Dinner,12,S001,Spaghetti,Dinner,2024-12-01 19:00:00,2024-12-01 19:30:00,30,4.5,1001,2024-12-01,Dinner,Spaghetti,Completed,15.0,Night,5.0,S001
1,U001,Alice Johnson,28,New York,2023-01-15,123-456-7890,alice@email.com,Dinner,12,S001,Spaghetti,Dinner,2024-12-01 19:00:00,2024-12-01 19:30:00,30,4.5,1004,2024-12-02,Breakfast,Pancakes,Completed,8.0,Morning,4.0,S004
2,U001,Alice Johnson,28,New York,2023-01-15,123-456-7890,alice@email.com,Dinner,12,S001,Spaghetti,Dinner,2024-12-01 19:00:00,2024-12-01 19:30:00,30,4.5,1009,2024-12-05,Dinner,Grilled Chicken,Completed,12.0,Night,5.0,S009
3,U001,Alice Johnson,28,New York,2023-01-15,123-456-7890,alice@email.com,Dinner,12,S004,Pancakes,Breakfast,2024-12-02 07:30:00,2024-12-02 08:00:00,30,4.2,1001,2024-12-01,Dinner,Spaghetti,Completed,15.0,Night,5.0,S001
4,U001,Alice Johnson,28,New York,2023-01-15,123-456-7890,alice@email.com,Dinner,12,S004,Pancakes,Breakfast,2024-12-02 07:30:00,2024-12-02 08:00:00,30,4.2,1004,2024-12-02,Breakfast,Pancakes,Completed,8.0,Morning,4.0,S004
5,U001,Alice Johnson,28,New York,2023-01-15,123-456-7890,alice@email.com,Dinner,12,S004,Pancakes,Breakfast,2024-12-02 07:30:00,2024-12-02 08:00:00,30,4.2,1009,2024-12-05,Dinner,Grilled Chicken,Completed,12.0,Night,5.0,S009
6,U001,Alice Johnson,28,New York,2023-01-15,123-456-7890,alice@email.com,Dinner,12,S009,Grilled Chicken,Dinner,2024-12-05 19:00:00,2024-12-05 19:40:00,40,4.9,1001,2024-12-01,Dinner,Spaghetti,Completed,15.0,Night,5.0,S001
7,U001,Alice Johnson,28,New York,2023-01-15,123-456-7890,alice@email.com,Dinner,12,S009,Grilled Chicken,Dinner,2024-12-05 19:00:00,2024-12-05 19:40:00,40,4.9,1004,2024-12-02,Breakfast,Pancakes,Completed,8.0,Morning,4.0,S004
8,U001,Alice Johnson,28,New York,2023-01-15,123-456-7890,alice@email.com,Dinner,12,S009,Grilled Chicken,Dinner,2024-12-05 19:00:00,2024-12-05 19:40:00,40,4.9,1009,2024-12-05,Dinner,Grilled Chicken,Completed,12.0,Night,5.0,S009
9,U002,Bob Smith,35,Los Angeles,2023-02-20,987-654-3210,bob@email.com,Lunch,8,S002,Caesar Salad,Lunch,2024-12-01 12:00:00,2024-12-01 12:20:00,20,4.0,1002,2024-12-01,Lunch,Caesar Salad,Completed,10.0,Day,4.0,S002
10,U002,Bob Smith,35,Los Angeles,2023-02-20,987-654-3210,bob@email.com,Lunch,8,S002,Caesar Salad,Lunch,2024-12-01 12:00:00,2024-12-01 12:20:00,20,4.0,1006,2024-12-03,Dinner,Spaghetti,Completed,14.0,Night,4.0,S006
11,U002,Bob Smith,35,Los Angeles,2023-02-20,987-654-3210,bob@email.com,Lunch,8,S002,Caesar Salad,Lunch,2024-12-01 12:00:00,2024-12-01 12:20:00,20,4.0,1010,2024-12-05,Breakfast,Oatmeal,Completed,7.0,Morning,4.0,S010
12,U002,Bob Smith,35,Los Angeles,2023-02-20,987-654-3210,bob@email.com,Lunch,8,S006,Spaghetti,Dinner,2024-12-03 18:30:00,2024-12-03 19:00:00,30,4.3,1002,2024-12-01,Lunch,Caesar Salad,Completed,10.0,Day,4.0,S002
13,U002,Bob Smith,35,Los Angeles,2023-02-20,987-654-3210,bob@email.com,Lunch,8,S006,Spaghetti,Dinner,2024-12-03 18:30:00,2024-12-03 19:00:00,30,4.3,1006,2024-12-03,Dinner,Spaghetti,Completed,14.0,Night,4.0,S006
14,U002,Bob Smith,35,Los Angeles,2023-02-20,987-654-3210,bob@email.com,Lunch,8,S006,Spaghetti,Dinner,2024-12-03 18:30:00,2024-12-03 19:00:00,30,4.3,1010,2024-12-05,Breakfast,Oatmeal,Completed,7.0,Morning,4.0,S010
15,U002,Bob Smith,35,Los Angeles,2023-02-20,987-654-3210,bob@email.com,Lunch,8,S010,Oatmeal,Breakfast,2024-12-05 07:00:00,2024-12-05 07:10:00,10,4.1,1002,2024-12-01,Lunch,Caesar Salad,Completed,10.0,Day,4.0,S002
16,U002,Bob Smith,35,Los Angeles,2023-02-20,987-654-3210,bob@email.com,Lunch,8,S010,Oatmeal,Breakfast,2024-12-05 07:00:00,2024-12-05 07:10:00,10,4.1,1006,2024-12-03,Dinner,Spaghetti,Completed,14.0,Night,4.0,S006
17,U002,Bob Smith,35,Los Angeles,2023-02-20,987-654-3210,bob@email.com,Lunch,8,S010,Oatmeal,Breakfast,2024-12-05 07:00:00,2024-12-05 07:10:00,10,4.1,1010,2024-12-05,Breakfast,Oatmeal,Completed,7.0,Morning,4.0,S010
18,U003,Charlie Lee,42,Chicago,2023-03-10,555-123-4567,charlie@email.com,Breakfast,15,S003,Grilled Chicken,Dinner,2024-12-02 19:30:00,2024-12-02 20:10:00,40,4.8,1003,2024-12-02,Dinner,Grilled Chicken,Canceled,12.5,Night,,S003
19,U003,Charlie Lee,42,Chicago,2023-03-10,555-123-4567,charlie@email.com,Breakfast,15,S003,Grilled Chicken,Dinner,2024-12-02 19:30:00,2024-12-02 20:10:00,40,4.8,1008,2024-12-04,Lunch,Veggie Burger,Canceled,11.0,Day,,S008
20,U003,Charlie Lee,42,Chicago,2023-03-10,555-123-4567,charlie@email.com,Breakfast,15,S003,Grilled Chicken,Dinner,2024-12-02 19:30:00,2024-12-02 20:10:00,40,4.8,1011,2024-12-06,Breakfast,Pancakes,Completed,8.5,Morning,4.0,S011
21,U003,Charlie Lee,42,Chicago,2023-03-10,555-123-4567,charlie@email.com,Breakfast,15,S008,Veggie Burger,Lunch,2024-12-04 13:30:00,2024-12-04 13:50:00,20,4.4,1003,2024-12-02,Dinner,Grilled Chicken,Canceled,12.5,Night,,S003
22,U003,Charlie Lee,42,Chicago,2023-03-10,555-123-4567,charlie@email.com,Breakfast,15,S008,Veggie Burger,Lunch,2024-12-04 13:30:00,2024-12-04 13:50:00,20,4.4,1008,2024-12-04,Lunch,Veggie Burger,Canceled,11.0,Day,,S008
23,U003,Charlie Lee,42,Chicago,2023-03-10,555-123-4567,charlie@email.com,Breakfast,15,S008,Veggie Burger,Lunch,2024-12-04 13:30:00,2024-12-04 13:50:00,20,4.4,1011,2024-12-06,Breakfast,Pancakes,Completed,8.5,Morning,4.0,S011
24,U003,Charlie Lee,42,Chicago,2023-03-10,555-123-4567,charlie@email.com,Breakfast,15,S011,Pancakes,Breakfast,2024-12-06 08:00:00,2024-12-06 08:30:00,30,4.6,1003,2024-12-02,Dinner,Grilled Chicken,Canceled,12.5,Night,,S003
25,U003,Charlie Lee,42,Chicago,2023-03-10,555-123-4567,charlie@email.com,Breakfast,15,S011,Pancakes,Breakfast,2024-12-06 08:00:00,2024-12-06 08:30:00,30,4.6,1008,2024-12-04,Lunch,Veggie Burger,Canceled,11.0,Day,,S008
26,U003,Charlie Lee,42,Chicago,2023-03-10,555-123-4567,charlie@email.com,Breakfast,15,S011,Pancakes,Breakfast,2024-12-06 08:00:00,2024-12-06 08:30:00,30,4.6,1011,2024-12-06,Breakfast,Pancakes,Completed,8.5,Morning,4.0,S011
27,U004,David Brown,27,San Francisco,2023-04-05,444-333-2222,david@email.com,Dinner,10,S005,Caesar Salad,Lunch,2024-12-03 13:00:00,2024-12-03 13:15:00,15,4.7,1005,2024-12-03,Lunch,Caesar Salad,Completed,9.0,Day,4.0,S005
28,U004,David Brown,27,San Francisco,2023-04-05,444-333-2222,david@email.com,Dinner,10,S005,Caesar Salad,Lunch,2024-12-03 13:00:00,2024-12-03 13:15:00,15,4.7,1012,2024-12-06,Dinner,Spaghetti,Completed,12.5,Night,4.0,S012
29,U004,David Brown,27,San Francisco,2023-04-05,444-333-2222,david@email.com,Dinner,10,S012,Spaghetti,Dinner,2024-12-06 19:00:00,2024-12-06 19:40:00,40,4.7,1005,2024-12-03,Lunch,Caesar Salad,Completed,9.0,Day,4.0,S005
30,U004,David Brown,27,San Francisco,2023-04-05,444-333-2222,david@email.com,Dinner,10,S012,Spaghetti,Dinner,2024-12-06 19:00:00,2024-12-06 19:40:00,40,4.7,1012,2024-12-06,Dinner,Spaghetti,Completed,12.5,Night,4.0,S012
31,U005,Emma White,30,Seattle,2023-05-22,777-888-9999,emma@email.com,Lunch,9,S007,Grilled Chicken,Dinner,2024-12-04 18:00:00,2024-12-04 18:45:00,45,4.6,1007,2024-12-04,Dinner,Grilled Chicken,Completed,13.5,Night,4.0,S007
32,U005,Emma White,30,Seattle,2023-05-22,777-888-9999,emma@email.com,Lunch,9,S007,Grilled Chicken,Dinner,2024-12-04 18:00:00,2024-12-04 18:45:00,45,4.6,1013,2024-12-07,Lunch,Caesar Salad,Completed,9.0,Day,4.0,S013
33,U005,Emma White,30,Seattle,2023-05-22,777-888-9999,emma@email.com,Lunch,9,S013,Caesar Salad,Lunch,2024-12-07 12:30:00,2024-12-07 13:00:00,30,4.4,1007,2024-12-04,Dinner,Grilled Chicken,Completed,13.5,Night,4.0,S007
34,U005,Emma White,30,Seattle,2023-05-22,777-888-9999,emma@email.com,Lunch,9,S013,Caesar Salad,Lunch,2024-12-07 12:30:00,2024-12-07 13:00:00,30,4.4,1013,2024-12-07,Lunch,Caesar Salad,Completed,9.0,Day,4.0,S013
35,U006,Frank Green,25,Austin,2023-06-15,888-777-6666,frank@email.com,Dinner,7,S014,Grilled Chicken,Dinner,2024-12-07 18:00:00,2024-12-07 18:45:00,45,4.8,1014,2024-12-07,Dinner,Grilled Chicken,Completed,13.0,Night,5.0,S014
36,U007,Grace King,38,Boston,2023-07-02,999-888-7777,grace@email.com,Breakfast,14,S015,Spaghetti,Dinner,2024-12-08 19:30:00,2024-12-08 20:10:00,40,5.0,1015,2024-12-08,Dinner,Spaghetti,Completed,14.0,Night,5.0,S015
37,U008,Henry Lee,31,Miami,2023-08-11,101-202-3030,henry@email.com,Dinner,5,S016,Veggie Burger,Lunch,2024-12-08 13:30:00,2024-12-08 13:50:00,20,4.3,1016,2024-12-08,Lunch,Veggie Burger,Completed,11.0,Day,4.0,S016
